재직기간,유치원-교원,유치원-사무직원,초등학교-교원,초등학교-사무직원,중학교-교원,중학교-사무직원,고등학교-교원,고등학교-사무직원,전문대-교원,전문대-사무직원,대학교-교원,대학교-사무직원,특수학교-교원,특수학교-사무직원,법인-교원,법인-사무직원
01년미만,1196,389,2,1,1,3,4,13,31,48,81,3469,0,3,0,3
02년미만,2438,318,4,0,3,3,12,9,61,42,200,2320,3,0,0,5
03년미만,1784,158,3,1,0,1,6,13,58,37,236,1270,2,1,0,3
04년미만,1321,97,3,0,1,1,10,7,40,6,163,1867,1,4,0,6
05년미만,1045,69,3,1,4,2,7,3,53,14,168,793,4,4,0,2
06년미만,943,67,1,0,3,5,10,6,29,9,97,1025,7,0,0,3
07년미만,712,45,0,0,3,3,14,8,31,5,141,360,3,3,0,3
08년미만,542,25,3,1,5,1,6,2,30,8,90,215,3,1,0,0
09년미만,371,18,0,1,4,2,8,4,19,12,71,166,2,3,0,2
10년미만,265,7,2,1,1,1,16,1,16,5,61,122,1,0,0,0
11년미만,196,11,2,0,4,0,7,6,26,6,52,162,1,1,0,0
12년미만,120,8,0,1,4,0,18,4,11,6,41,114,3,1,0,0
13년미만,86,8,1,1,4,1,18,7,11,8,41,84,5,2,0,1
14년미만,58,6,2,0,1,0,12,5,12,7,30,81,2,1,0,2
15년미만,53,7,1,0,2,2,10,8,9,5,30,48,1,1,0,2
16년미만,45,5,1,0,3,2,11,7,11,6,38,51,2,1,0,0
17년미만,28,4,1,0,4,0,11,2,15,6,38,40,2,1,0,1
18년미만,40,2,0,0,3,3,15,1,6,4,25,55,0,0,0,0
19년미만,24,1,0,0,6,0,10,3,11,6,27,43,1,4,0,0
20년미만,18,3,0,0,1,1,10,2,12,6,30,28,2,2,0,3
21년미만,15,1,0,3,10,3,18,5,9,8,27,30,4,3,0,2
22년미만,10,3,3,2,3,4,15,3,14,7,44,29,1,2,0,0
23년미만,12,1,2,0,8,4,21,6,23,13,41,40,4,2,0,0
24년미만,3,2,0,1,7,2,19,6,18,7,44,56,0,4,0,0
25년미만,6,1,1,1,2,4,24,4,33,9,59,59,2,2,0,0
26년미만,5,0,0,0,6,0,12,3,38,9,76,49,4,1,0,0
27년미만,5,1,1,1,6,3,23,6,37,5,80,29,6,3,0,1
28년미만,1,3,1,0,11,0,22,4,21,11,75,54,1,1,0,1
29년미만,1,0,0,1,14,1,30,5,20,4,59,38,3,0,0,0
30년미만,2,0,1,1,35,3,80,11,20,5,66,79,3,0,0,0
31년미만,0,0,4,0,47,4,114,6,15,12,85,60,4,1,0,0
32년미만,1,0,0,1,54,5,157,8,20,7,99,78,10,3,0,0
33년미만,3,0,3,0,92,4,203,10,18,8,104,88,10,2,0,1
33년이상,1,1,19,3,544,13,1547,43,167,33,646,533,37,2,0,4
